benefits_n_reviews,benefits_rating,ceo_score,company,cotype,culture_score,employee_count,end_date,founded,industry,interview_difficulty,interview_n_reviews,location,negative_xp,neutral_xp,number_reviews,positive_xp,recommendation,revenue,reviewscon,reviewspro,start_date,ticker,website,year
182,3.7,94,HP Inc., Company - Public (HPQ) ,4.0,10000+ employees,10/21/18, 1939, Computer Hardware & Software, 2.8,397,"Palo Alto, CA",14,14,2831,72,82, Unknown / Non-Applicable,Work life balance is tough to maintain with the workload A falta de oportunidade para pessoas que querem entrar na empresa porem a mesma s,The work life balance is fantastic as well The work environment for women is amazing,10/23/17,HPQ,https://jobs.hp.com,
266,3.6,96,Edward Jones, Company - Private,4.0,10000+ employees,10/21/18, 1922, Investment Banking & Asset Management, 3.1,"1,009","Saint Louis, MO",16,20,2515,64,77, $5 to $10 billion (USD) per year,Hard to build a business from scratch door knocking Get used to Door to door prospecting,We are given an enormous amount of support from our home office Great training for resume building,10/23/17,,www.edwardjones.com,
109,4.2,80,FedEx Freight, Subsidiary or Business Segment,3.9,10000+ employees,10/21/18, 2000, Trucking, 2.3,132,"Memphis, TN",4,16,940,80,81, $2 to $5 billion (USD) per year,There is no immediate full time Part time hours no fulltime position,Good Pay Understanding Management Fast paced Great Pay and learning experience,10/23/17,,www.fedex.com/us/freight,
229,4.0,89,Massachusetts General Hospital, 1811,4.0,10000+ employees,10/21/18,, Hospital, 2.7,269,"Boston, MA",11,15,1129,74,81, Health Care Services & Hospitals,Little work life balance low salary for research fellows Long hours not really seen as a training position by PIs,Great benefits and work environment Everyone is extremely accepting and it is a very nice work environment to be a part of,10/23/17,,www.massgeneral.org,
51,4.0,88,Phoenix Children's Hospital, Nonprofit Organization,4.3,1001 to 5000 employees,10/21/18, 1983, Health Care Services & Hospitals, 2.7,59,"Phoenix, AZ",17,12,345,71,83, $500 million to $1 billion (USD) per year,I have experienced absolutely no cons about PCH whatsoever no cons that i have at this time,Annual employee survey allows employers to anonymously rate PCH as an employer and Great benefits great people rewarding patients,10/23/17,,www.phoenixchildrens.org,
319,3.9,84,NetApp, Company - Public (NTAP) ,3.9,10000+ employees,10/21/18, 1992, Enterprise Software & Network Solutions, 3.0,606,"Sunnyvale, CA",14,20,1252,66,78, $5 to $10 billion (USD) per year,gt Intense political infighting amongst middle management Move to cloud too late lot of middle management,Collaboration work life balance awesome product portfolio Great Place to start your career,10/23/17,NTAP,www.netapp.com,
72,3.8,91,Discount Tire, Company - Private,4.2,10000+ employees,10/21/18, 1960, Automotive Parts & Accessories Stores, 1.7,103,"Scottsdale, AZ",4,13,812,83,84, $2 to $5 billion (USD) per year,Long hours can get to you sometimes Hard work and difficult on body,Good pay with good benefits working with friends Great company to work for they offer great benefits,10/23/17,,www.discounttire.com,
1897,4.1,89,Deloitte, Company - Private,3.8,10000+ employees,10/21/18, 1850, Accounting, 3.0,"11,000","New York, NY",11,18,30425,71,79, $10+ billion (USD) per year,You won t really have a perfect work life balance if you wish to succeed here in Deloitte Long working hours are expected,Great work life balance at Deloitte Employee friendly good work culture,10/23/17,,www.deloitte.com,
714,4.4,92,Costco Wholesale, Company - Public (COST) ,4.0,10000+ employees,10/21/18, 1976, General Merchandise & Superstores, 2.5,"1,204","Issaquah, WA",12,16,6001,72,82, $10+ billion (USD) per year,No weekends off unless you are a full time employee if limited part time hard to move to,great benefits even for part time employees Great pay for little experience,10/23/17,COST,www.costco.com,
214,4.0,92,Texas Instruments, Company - Public (TXN) ,4.0,10000+ employees,10/21/18, 1930, Electrical & Electronic Manufacturing, 3.0,"1,126","Dallas, TX",8,21,2349,71,77, $10+ billion (USD) per year,Poor work life balance in the fabs Always under constant stress and worries upper management will come down at you for every little thing,TI provides the best work life balance It has very good work environment,10/23/17,TXN,www.ti.com,
77,3.8,95,Kimpton Hotels & Restaurants, Company - Private,4.4,5001 to 10000 employees,10/21/18, 1981," Hotels, Motels, & Resorts", 2.5,125,"San Francisco, CA",20,11,589,69,83, $1 to $2 billion (USD) per year,Long hours and varying schedule Work life balance at a property level,Great company great benefits great staff Kimpton is a great company to work for if you d like to learn aspects of the hospitality industry,10/23/17,,www.kimptonhotels.com,
542,4.2,86,Goldman Sachs, Company - Public (GS) ,3.9,10000+ employees,10/21/18, 1869, Investment Banking & Asset Management, 3.1,"4,588","New York, NY",11,26,5491,63,75, $10+ billion (USD) per year,May occasionally have long hours Work life balance could be improved,Smart people all around to stimulate motivation A great challenging work environment,10/23/17,GS,www.goldmansachs.com,
15,3.3,87,Aptive Environmental, Company - Private,4.3,1001 to 5000 employees,10/21/18, 2015, Unknown / Non-Applicable per year, 2.0,31,"Provo, UT",13,10,316,77,86,,Long hours but if you re willing to work this isn t a con hard work and long hours during the summer,Going with aptive was honestly the best choice I made Great atmosphere room for growth great pay,10/23/17,,www.goaptive.com,
191,2.9,90,BAYADA Home Health Care, Company - Private,4.1,10000+ employees,10/21/18, 1975, Health Care Services & Hospitals, 2.6,292,"Moorestown, NJ",17,15,1677,68,81, $1 to $2 billion (USD) per year,Office staff is very friendly willing to work with under certain circumstances Industry wide low pay for some positions,Also so much recognition given not just to the field staff but office staff as well from upper management Flexible Schedule Paid Time Off Overtime,10/23/17,,www.bayada.com,
164,3.4,97,Omni Hotels, Company - Private,4.4,10000+ employees,10/21/18, 1996," Hotels, Motels, & Resorts", 2.6,254,"Dallas, TX",16,18,1781,66,90, $1 to $2 billion (USD) per year,No Cons very positive atmosphere In most departments the employess usually work long hours,Omni is a great company to work for Omni Hotels amp Resorts is committed to providing growth and development for all associates,10/23/17,,www.omnihotels.com,
2303,4.5,91,Apple, Company - Public (AAPL) ,4.0,10000+ employees,10/21/18, 1976, Computer Hardware & Software, 3.0,"7,031","Cupertino, CA",15,20,14921,65,77, $10+ billion (USD) per year,Work life balance is non existent working in a mall with long hours,Great company with great benefits It s a really fun work environment,10/23/17,AAPL,www.apple.com,
428,4.3,87,Travelers, Company - Public (TRV) ,3.8,10000+ employees,10/21/18, 1853, Insurance Carriers, 3.0,"1,068","Hartford, CT",18,22,2438,60,75, $10+ billion (USD) per year,Work Life Balance is emphasized but many roles don t afford this luxury Primary office location in Hartford,You d expect to get great benefits from a company with 30k employees and you d right Work life balance better than industry,10/23/17,TRV,www.travelers.com,
1745,4.2,91,Cisco Systems, Company - Private,4.0,10000+ employees,10/21/18, 1984, Computer Hardware & Software, 3.0,"3,366","San Jose, CA",11,19,6186,70,80, $10+ billion (USD) per year,Work Life balance can be challenging at times Big company going through major business transition,Work life balance is generally good with Cisco IT With best IT environment providing very flexible work style,10/23/17,,www.cisco.com,
275,4.4,96,MD Anderson Cancer Center, Hospital,4.3,10000+ employees,10/21/18, 1941, Health Care Services & Hospitals, 2.8,275,"Houston, TX",12,17,1513,71,87, $2 to $5 billion (USD) per year,Bureaucratic upper management slows down growth and innovation Recent changes in leadership have hurt morale There are no cons for this institution,Great benefits and working condition Excellent resources for leadership Good benefits Flexibility,10/23/17,,www.mdanderson.org,
130,2.9,89,VIPKid, Company - Private,4.2,5001 to 10000 employees,10/21/18, 2013, K-12 Education, 3.2,458,"San Francisco, CA",32,13,241,55,82, Unknown / Non-Applicable,It can be kind of hard to get bookings to begin with especially if you are not able to open up the peak time slots Cancellation policy can be hard to handle,I can work from home without having to pay for daycare flexible schedule work as much or as little as you want,10/23/17,,www.vipkid.com,
293,4.4,90,Memorial Sloan Kettering, Nonprofit Organization,3.9,10000+ employees,10/21/18, 1884, Health Care Services & Hospitals, 3.0,542,"New York, NY",14,18,1261,68,76, $2 to $5 billion (USD) per year,Wished they were more MSK locations in Florida Easy to get lost and depressed in work if you can not find the work life balance,Great Benefits good pay great work life balance good benefits great area to work in,10/23/17,,www.mskcc.org,
46,3.8,98,Oshkosh Corporation, Company - Public (OSK) ,4.2,10000+ employees,10/21/18, 1917, Transportation Equipment Manufacturing, 2.9,63,"Oshkosh, WI",11,16,339,73,85, $5 to $10 billion (USD) per year,Still a culture change taking place toward people first Crazy hours no work life balance,People first culture is evident every day Building a strong people first culture with a CEO that walks the talk,10/23/17,OSK,www.oshkoshcorp.com,
218,4.3,94,NewYork-Presbyterian Hospital, Hospital,4.2,10000+ employees,10/21/18, 1998, Health Care Services & Hospitals, 2.8,338,"New York, NY",14,17,1173,69,87, Unknown / Non-Applicable,Expectation for few work co workers no cons Work life balance could be better,Great benefits and resources for employees Good people good environment good benefits,10/23/17,,www.nyp.org,
186,4.1,96,John Deere, Company - Public (DE) ,4.1,10000+ employees,10/21/18, 1837, Industrial Manufacturing, 3.0,554,"Moline, IL",8,14,2008,78,84, $10+ billion (USD) per year,work life balance issues for few support departments Some complain it is Midwest centric but there are locations around the world,Healthy corporate culture with work life balance There were so many smart people yet the work environment was collaborative not competetive,10/23/17,DE,www.deere.com,
174,4.4,94,Paycom, Company - Public (PAYC) ,4.5,1001 to 5000 employees,10/21/18, 1998, Enterprise Software & Network Solutions, 3.0,668,"Oklahoma City, OK",36,17,1178,47,86, $100 to $500 million (USD) per year,Work Life balance is a little tough Long hours other similar jobs can be done from working at home with secured laptops,Great benefits awesome communication with the HR department There are many perks for the employees including catered lunches and a gym,10/23/17,PAYC,www.paycom.com,
76,4.1,86,Hilti North America, 1955,4.1,1001 to 5000 employees,10/21/18,, Subsidiary or Business Segment, 2.9,158,"Plano, TX",18,23,648,59,82, Industrial Manufacturing,Sometimes upper management is out of touch Some of the account managers in the field do not treat the Hilti Center representatives as equals even though they have some challanages as well,Good work life balance with Hilti Great products with solid reputation,10/23/17,,www.hilti.com,
47,2.7,95,Rose International, Company - Private,4.5,5001 to 10000 employees,10/21/18, 1993, Staffing & Outsourcing, 2.3,78,"Chesterfield, MO",17,17,359,66,91, $100 to $500 million (USD) per year,Health Insurance Cost could be more affordable No cons I can think of at this time,Rose International offers a great work environment Flexibility to maintain work life balance as well as always having opportunities to take on new and interesting challenges,10/23/17,,www.roseit.com,
1354,4.4,95,T-Mobile, Company - Public (TMUS) ,4.0,10000+ employees,10/21/18, 2001, Telecommunications Services, 2.7,"1,688","Bellevue, WA",15,17,4541,68,84, $10+ billion (USD) per year,work life balance can be better Sometimes upper management gives contraction in orders,Great Benefits come with the job Great opportunity great atmosphere nice people great pay,10/23/17,TMUS,www.tmobile.careers,
55,4.4,81,AppDynamics, 2008,4.5,1001 to 5000 employees,10/21/18,, Company - Public, 3.1,250,"San Francisco, CA",36,9,547,55,88, Enterprise Software & Network Solutions,Passionate team members can lose their work life balance easily A perfect company does not exist but there is very little I can say negatively about AppD,It s almost an year since I have joined AppD as a new grad Great focus on work life balance,10/23/17,,www.appdynamics.com,
235,2.5,93,Keller Williams, Company - Private,4.2,201 to 500 employees,10/21/18, 1983, Real Estate, 2.3,472,"Austin, TX",12,18,2300,70,81, $100 to $500 million (USD) per year,Too many new agents who don t know what they are doing There are no cons when you are your own business manager,Great training program for new agents An agent can also participate in profit sharing if you recruit other successful agents to the brokerage,10/23/17,,www.kw.com,
192,4.1,97,Boston Scientific, Company - Public (BSX) ,4.0,10000+ employees,10/21/18, 1979, Health Care Products Manufacturing, 2.8,399,"Marlborough, MA",14,20,1415,66,83, $5 to $10 billion (USD) per year,Work life balance can be tough but rewards are achievable Upper management needs an overhaul,Flexitime was great to fit work life balance Flexible work and Good benefits,10/23/17,BSX,www.bostonscientific.com,
79,4.2,94,AvalonBay Communities, Company - Public (AVB) ,4.3,1001 to 5000 employees,10/21/18, 1998, Real Estate, 2.7,113,"Arlington, VA",13,16,541,71,82, $2 to $5 billion (USD) per year,Low base pay challenging leasing goals I was unable to afford to continue working for Avalon because they pay less than the cost of living in each region and do not offer a great discount,Work Life balance is something you ll hear from a lot of other companies but AVB lives it Great benefits good enviroment lots of training,10/23/17,AVB,www.avaloncommunities.com,
54,4.1,99,ABC Supply Co., Company - Private,4.6,10000+ employees,10/21/18, 1982, Wholesale, 2.2,45,"Beloit, WI",27,22,442,51,94, $5 to $10 billion (USD) per year,There are no cons working for ABC Long hours and depending on what position you are in it can be physically or mentally tough at times,ABC Supply is a great place to work that puts their associates first ABC is a great company with limitless possibilities,10/23/17,,www.abcsupply.com,
33,4.4,99,Vi, Company - Private,4.7,1001 to 5000 employees,10/21/18, 1987, Health Care Services & Hospitals, 2.7,38,"Chicago, IL",5,11,302,84,96, $100 to $500 million (USD) per year,There are no cons but there is always something we all can do better to improve the operations The upper management seems to work on a buddy system,Great benefits and opportunities for development Supportive work environment and opportunity for career development,10/23/17,,www.viliving.com,
203,4.2,95,Northside Hospital, Nonprofit Organization,4.4,10000+ employees,10/21/18, 1970, Health Care Services & Hospitals, 2.5,226,"Atlanta, GA",7,8,1396,85,93, $5 to $10 billion (USD) per year,I have no cons for my employment Being involved with patient care results in hard deadlines,Great benefits no issues great place great place to work with a lot of great people,10/23/17,,jobs.northside.com,
466,4.3,96,VMware, 1998,4.2,10000+ employees,10/21/18,, Company - Public (VMW) , 3.1,"1,374","Palo Alto, CA",20,16,4453,64,86, Computer Hardware & Software,Work life balance is impacted at times Middle management micro management in few teams,Great work life balance in the company Work environment is good employee,10/23/17,,www.vmware.com,
87,4.1,90,Crowe, Company - Private,3.8,1001 to 5000 employees,10/21/18, 1942, Accounting, 2.8,402,"Chicago, IL",7,20,908,73,74, $500 million to $1 billion (USD) per year,Too much travel creating a difficult work life balance for families Occasional long hours would reduce overall enjoyment,Work life balance WFH facility makes life really easy Great people and lots of autonomy,10/23/17,,www.crowe.com,
532,4.4,94,Johnson & Johnson, Company - Public (JNJ) ,4.0,10000+ employees,10/21/18, 1887, Biotech & Pharmaceuticals, 2.9,"1,482","New Brunswick, NJ",13,21,5292,66,84, $10+ billion (USD) per year,A J J consumo entrou em um looping muito negativo de resultados que j Work life balance can be tricky in some departments due to lack of resources,Great work life balance at the office rios descontos em produtos J J fretado sem descontos para os estagi,10/23/17,JNJ,www.jnj.com,
229,4.1,90,SpaceX, Company - Private,4.1,5001 to 10000 employees,10/21/18, 2002, Aerospace & Defense, 3.4,610,"Hawthorne, CA",13,18,1177,69,81, Unknown / Non-Applicable,Long hours makes personal life hard to do anything Work life balance is hard to maintain,You get to walk around a rocket factory and see rockets being built Fast paced manufacturing environment,10/23/17,,www.spacex.com,
112,3.9,95,The Clorox Company, Company - Public (CLX) ,4.2,5001 to 10000 employees,10/21/18, 1913, Consumer Products Manufacturing, 3.0,183,"Oakland, CA",15,22,789,63,88, $5 to $10 billion (USD) per year,Company is heavily reliant on data almost too much and at the cost of quick decision making Encourage work life balance but not really enforced based on workload given,Excellent focus on work life balance Great people focused on great consumer brands,10/23/17,CLX,www.thecloroxcompany.com,
207,4.0,92,Wegmans Food Markets, Company - Private,4.0,10000+ employees,10/21/18, 1916, Grocery Stores & Supermarkets, 2.7,565,"Rochester, NY",14,18,2202,68,82, $5 to $10 billion (USD) per year,I only left to secure a full time position in my current field Not a lot of upward mobility for part time employees,The allow for very flexible scheduling flexible hours and mostly nice people,10/23/17,,jobs.wegmans.com,
59,3.8,78,Nebraska Furniture Mart, Subsidiary or Business Segment,3.6,1001 to 5000 employees,10/21/18, 1937, Home Furniture & Housewares Stores, 2.8,66,"Omaha, NE",23,20,453,57,65, $1 to $2 billion (USD) per year,But the reality is that the average salesperson makes,NFM is a big enough company that they offer great benefits but small enough that they make you feel like a truly valued employee They also provide great benefits,10/23/17,,www.nfm.com,
174,4.0,92,Kronos Incorporated, Company - Private,4.0,5001 to 10000 employees,10/21/18, 1977, Computer Hardware & Software, 2.8,340,"Lowell, MA",23,11,1319,66,80, $1 to $2 billion (USD) per year,There are no cons to write about The work life balance can get a little out of hand as projects are very time sensitive,Kronos offers a flexible work life balance great work environment new office in Lowell is comfortable,10/23/17,,www.kronos.com,
82,4.2,100,Equity Residential, Company - Public (EQR) ,4.2,1001 to 5000 employees,10/21/18, 1993, Real Estate, 2.4,85,"Chicago, IL",8,15,578,77,81, $2 to $5 billion (USD) per year,Recent change in upper management change the whole company culture of Equity Work life balance can be difficult especially in the busy season,Great benefits and opportunity for sales growth work life balance conscious company,10/23/17,EQR,https://careers.equityapartments.com/,
102,4.2,72,Blizzard Entertainment, 1994,4.0,1001 to 5000 employees,10/21/18,, Subsidiary or Business Segment, 3.0,296,"Irvine, CA",22,15,761,63,75, Video Games,Rent in Irvine can be high and options for a social scene can be limited compared to Los Angeles Cost of living in the area is outrageous,Great work environment lots of support from the colleagues Surrounded by likeminded gamers even or manager level,10/23/17,,www.blizzard.com,
232,3.8,90,Cengage, Company - Private,4.0,1001 to 5000 employees,10/21/18, 2007, Publishing, 2.9,265,"Boston, MA",18,17,1285,65,78, $1 to $2 billion (USD) per year,In some cases they even created new positions for people who were personal friends with upper management To many reorgs when company numbers aren t met,Great work life balance with a comfortable working atmosphere Great mission and the great people,10/23/17,,www.cengage.com,
20,4.0,97,TaskUs, Company - Private,4.5,10000+ employees,10/21/18, 2008, Staffing & Outsourcing, 2.8,343,"Santa Monica, CA",6,4,1476,90,91, $50 to $100 million (USD) per year,None so far because TaskUs is a company where you can have fun while working I think Task Us has no downsides,The working environment is really different from the others that I have been so far The leaders stay true to their promise of putting the people first,10/23/17,,www.taskus.com,
